Year,Month,Plot_Large,Plot,Code,Amount,Sp_C,Ha_C,Family,Conser
2018,11,E,E1,ece,5,黃頭鷺,岸邊,鷺科,0
2018,11,F,F2,lieg,4,小白鷺,草叢,鷺科,0
2018,11,F,F2,lieg,3,小白鷺,岸邊,鷺科,0
2018,11,F,F2,ece,2,黃頭鷺,岸邊,鷺科,0
2018,11,F,F2,bcnh,3,夜鷺,岸邊,鷺科,0
2018,11,F,F2,bcnh,1,夜鷺,岸邊,鷺科,0
2018,11,F,F1,lieg,2,小白鷺,草叢,鷺科,0
2018,11,D,D2,ece,35,黃頭鷺,樹上,鷺科,0
2018,11,D,D2,bws,80,高蹺鴴,草叢,長腳鷸科,0
2018,11,D,D2,masa,2,小青足鷸,草叢,鷸科,0
2018,11,D,D2,lieg,2,小白鷺,草叢,鷺科,0
2018,11,D,D1,grhe,350,蒼鷺,草叢,鷺科,0
2018,11,D,D1,grhe,49,蒼鷺,岸邊,鷺科,0
2018,11,D,D1,greg,50,大白鷺,草叢,鷺科,0
2018,11,D,D1,greg,14,大白鷺,岸邊,鷺科,0
2018,11,D,D1,lieg,3,小白鷺,草叢,鷺科,0
2018,11,D,D3,btg,1,黑尾鷸,草叢,鷸科,III
2018,11,D,D3,bfs,31,黑面琵鷺,草叢,䴉科,I
2018,11,D,D3,greg,20,大白鷺,草叢,鷺科,0
2018,11,D,D3,greg,7,大白鷺,岸邊,鷺科,0
2018,11,D,D3,grhe,3,蒼鷺,草叢,鷺科,0
2018,11,D,D3,grhe,3,蒼鷺,岸邊,鷺科,0
2018,11,D,D3,lieg,60,小白鷺,草叢,鷺科,0
2018,11,D,D3,lieg,22,小白鷺,岸邊,鷺科,0
2018,11,A,A1,saib,70,埃及聖䴉,岸邊,䴉科,0
2018,11,A,A1,bfs,7,黑面琵鷺,草叢,䴉科,I
2018,11,A,A1,grhe,30,蒼鷺,草叢,鷺科,0
2018,11,A,A1,grhe,150,蒼鷺,岸邊,鷺科,0
2018,11,A,A1,greg,350,大白鷺,草叢,鷺科,0
2018,11,A,A1,greg,250,大白鷺,岸邊,鷺科,0
2018,11,A,A1,lieg,860,小白鷺,草叢,鷺科,0
2018,11,A,A1,lieg,500,小白鷺,岸邊,鷺科,0
2018,11,A,A2,saib,120,埃及聖䴉,岸邊,䴉科,0
2018,11,A,A2,bfs,2,黑面琵鷺,草叢,䴉科,I
2018,11,A,A2,grhe,100,蒼鷺,草叢,鷺科,0
2018,11,A,A2,grhe,250,蒼鷺,岸邊,鷺科,0
2018,11,A,A2,greg,30,大白鷺,草叢,鷺科,0
2018,11,A,A2,greg,20,大白鷺,岸邊,鷺科,0
2018,11,A,A2,lieg,300,小白鷺,草叢,鷺科,0
2018,11,A,A2,lieg,550,小白鷺,岸邊,鷺科,0
2018,11,B,B,bfs,2,黑面琵鷺,草叢,䴉科,I
2018,11,B,B,lieg,20,小白鷺,草叢,鷺科,0
2018,11,B,B,lieg,5,小白鷺,岸邊,鷺科,0
2018,11,B,B,greg,15,大白鷺,草叢,鷺科,0
2018,11,B,B,greg,10,大白鷺,岸邊,鷺科,0
2018,11,C,C,saib,2,埃及聖䴉,草叢,䴉科,0
2018,11,C,C,greg,10,大白鷺,岸邊,鷺科,0
2018,11,C,C,greg,3,大白鷺,草叢,鷺科,0
2018,11,C,C,lieg,25,小白鷺,草叢,鷺科,0
2018,11,C,C,lieg,10,小白鷺,岸邊,鷺科,0
2018,11,E,E1,cogr,8,青足鷸,岸邊,鷸科,0
2018,11,E,E1,masa,40,小青足鷸,草叢,鷸科,0
2018,11,E,E1,masa,10,小青足鷸,岸邊,鷸科,0
2018,11,E,E1,kepl,100,東方環頸鴴,草叢,鴴科,0
2018,11,E,E1,kepl,20,東方環頸鴴,岸邊,鴴科,0
2018,11,E,E1,dunl,100,黑腹濱鷸,草叢,鷸科,0
2018,11,E,E1,dunl,30,黑腹濱鷸,岸邊,鷸科,0
2018,11,E,E1,pgp,25,太平洋金斑鴴,草叢,鴴科,0
2018,11,E,E1,saib,22,埃及聖䴉,岸邊,䴉科,0
2018,11,E,E1,gwt,18,小水鴨,水域,雁鴨科,0
2018,11,E,E1,grhe,2,蒼鷺,岸邊,鷺科,0
2018,11,E,E1,greg,2,大白鷺,岸邊,鷺科,0
2018,11,E,E1,eyw,2,東方黃鶺鴒,岸邊,鶺鴒科,0
2018,11,E,E1,paswa,10,洋燕,天空,燕科,0
2018,11,E,E1,bws,18,高蹺鴴,草叢,長腳鷸科,0
2018,11,E,E1,rns,90,紅胸濱鷸,草叢,鷸科,0
2018,11,E,E1,lieg,5,小白鷺,草叢,鷺科,0
2018,11,E,E2,cogr,40,青足鷸,草叢,鷸科,0
2018,11,E,E2,cogr,30,青足鷸,岸邊,鷸科,0
